AGRE4_HUMAN	ADGRE4P	326342
AGRF1_HUMAN	ADGRF1	266977
AGRG4_HUMAN	ADGRG4	139378
AGRD2_HUMAN	ADGRD2	347088
AGRF3_HUMAN	ADGRF3	165082
AGRG5_HUMAN	ADGRG5	221188
AGRF4_HUMAN	ADGRF4	221393
AGRF2_HUMAN	ADGRF2	222611
AGRG7_HUMAN	ADGRG7	84873
AGRA1_HUMAN	ADGRA1	84435
G32P1_HUMAN	GPR32P1	2855
GPR42_HUMAN	GPR42	2866
GPR82_HUMAN	GPR82	27197
GP141_HUMAN	GPR141	353345
GP148_HUMAN	GPR148	344561
GP157_HUMAN	GPR157	80045
GPR27_HUMAN	GPR27	2850
GPR63_HUMAN	GPR63	81491
GPC5C_HUMAN	GPRC5C	55890
GP146_HUMAN	GPR146	115330
GP150_HUMAN	GPR150	285601
GP153_HUMAN	GPR153	387509
GP149_HUMAN	GPR149	344758
GPR21_HUMAN	GPR21	2844
GPR33_HUMAN	GPR33	2856
GPR75_HUMAN	GPR75	10936
GPR25_HUMAN	GPR25	2848
GPR62_HUMAN	GPR62	118442
GPR20_HUMAN	GPR20	2843
GPR22_HUMAN	GPR22	2845
GP179_HUMAN	GPR179	440435
GP173_HUMAN	GPR173	54328
GP107_HUMAN	GPR107	57720
GP151_HUMAN	GPR151	134391
GP171_HUMAN	GPR171	29909
GPC5D_HUMAN	GPRC5D	55507
OPSG2_HUMAN	OPN1MW2	728458
OPSG3_HUMAN	OPN1MW2	728458
OPSG_HUMAN	OPN1MW2	728458
MRGX4_HUMAN	MRGPRX4	117196
MRGRF_HUMAN	MRGPRF	116535
MRGX3_HUMAN	MRGPRX3	117195
MRGRG_HUMAN	MRGPRG	386746
T2R42_HUMAN	TAS2R42	353164
TAAR3_HUMAN	TAAR3	9288
TA2R9_HUMAN	TAS2R9	50835
TAAR9_HUMAN	TAAR9	134860
T2R19_HUMAN	TAS2R19	259294
TPRA1_HUMAN	TPRA1	131601
VN1R4_HUMAN	VN1R4	317703
VN1R2_HUMAN	VN1R2	317701
VN1R3_HUMAN	VN1R3	317702
VN1R5_HUMAN	VN1R5	317705
VNRL4_HUMAN	VN1R17P	441931
CAHM2_HUMAN	CALHM2	51063
CAHM3_HUMAN	CALHM3	119395
CCG4_HUMAN	CACNG4	27092
GPHRB_HUMAN	GPR89B	51463
CNGA4_HUMAN	CNGA4	1262
FA26F_HUMAN	FAM26F	441168
FA26D_HUMAN	FAM26D	221301
FA26E_HUMAN	FAM26E	254228
FXYD4_HUMAN	FXYD4	53828
FXYD8_HUMAN	FXYD6P3	406875
GLRA4_HUMAN	GLRA4	441509
KCNKG_HUMAN	KCNK16	83795
KCAB3_HUMAN	KCNAB3	9196
KCJ18_HUMAN	KCNJ18	100134444
KCJ14_HUMAN	KCNJ14	3770
KCNK7_HUMAN	KCNK7	10089
LRC38_HUMAN	LRRC38	126755
LRC55_HUMAN	LRRC55	219527
LRC52_HUMAN	LRRC52	440699
PK1L2_HUMAN	PKD1L2	114780
PKDRE_HUMAN	PKDREJ	10343
PK1L1_HUMAN	PKD1L1	168507
TMC2_HUMAN	TMC2	117532
TMC4_HUMAN	TMC4	147798
TTYH2_HUMAN	TTYH2	94015
ADCK1_HUMAN	ADCK1	57143
ADCK5_HUMAN	ADCK5	203054
ALPK3_HUMAN	ALPK3	57538
ALPK2_HUMAN	ALPK2	115701
CDKL4_HUMAN	CDKL4	344387
EKI2_HUMAN	ETNK2	55224
CSK23_HUMAN	CSNK2A3	283106
DYRK4_HUMAN	DYRK4	8798
GLPK3_HUMAN	GK3P	2713
GLPK2_HUMAN	GK2	2712
PANK4_HUMAN	PANK4	55229
PAN3_HUMAN	PAN3	255967
PACE1_HUMAN	SCYL3	57147
KC1AL_HUMAN	CSNK1A1L	122011
KPSH1_HUMAN	PSKH1	5681
KS6C1_HUMAN	RPS6KC1	26750
KPSH2_HUMAN	PSKH2	85481
M3KL4_HUMAN	MAP3K21	84451
NDK8_HUMAN	NME2P1	283458
NRK_HUMAN	NRK	203447
NRBP2_HUMAN	NRBP2	340371
PDPK2_HUMAN	PDPK2P	653650
PDK1L_HUMAN	PDIK1L	149420
PRPS3_HUMAN	PRPS1L1	221823
PRKY_HUMAN	PRKY	5616
PSTK_HUMAN	PSTK	118672
SG494_HUMAN	SGK494	
RPKL1_HUMAN	RPS6KL1	83694
SG196_HUMAN	POMK	84197
SBK2_HUMAN	SBK2	646643
STKL1_HUMAN	STKLD1	169436
TESK2_HUMAN	TESK2	10420
UCKL1_HUMAN	UCKL1	54963
O2T10_HUMAN	OR2T10	127069
O2T12_HUMAN	OR2T12	127064
O2T35_HUMAN	OR2T35	403244
O51G1_HUMAN	OR51G1	79324
O51I2_HUMAN	OR51I2	390064
O51L1_HUMAN	OR51L1	119682
O51Q1_HUMAN	OR51Q1	390061
O51T1_HUMAN	OR51T1	401665
O52M1_HUMAN	OR52M1	119772
O52N4_HUMAN	OR52N4	390072
O56A3_HUMAN	OR56A3	390083
O56A4_HUMAN	OR56A4	120793
O56B4_HUMAN	OR56B4	196335
O5AK3_HUMAN	OR5AK3P	81228
O5AP2_HUMAN	OR5AP2	338675
O5H14_HUMAN	OR5H14	403273
O6C76_HUMAN	OR6C76	390326
O10G9_HUMAN	OR10G9	219870
O10H2_HUMAN	OR10H2	26538
O10J1_HUMAN	OR10J1	26476
O10S1_HUMAN	OR10S1	219873
O10W1_HUMAN	OR10W1	81341
O11H4_HUMAN	OR11H4	390442
O11HC_HUMAN	OR11H12	440153
O13C3_HUMAN	OR13C3	138803
O13G1_HUMAN	OR13G1	441933
O14CZ_HUMAN	OR14C36	127066
O14L1_HUMAN	OR14L1P	127617
O2A12_HUMAN	OR2A12	346525
O2A25_HUMAN	OR2A25	392138
O2AK2_HUMAN	OR2AK2	391191
O2T29_HUMAN	OR2T29	343563
O2T34_HUMAN	OR2T34	127068
O4C45_HUMAN	OR4C45	403257
O51A4_HUMAN	OR51A4	401666
O51B4_HUMAN	OR51B4	79339
O51F1_HUMAN	OR51F1	256892
O51I1_HUMAN	OR51I1	390063
O52A1_HUMAN	OR52A1	23538
O52D1_HUMAN	OR52D1	390066
O52H1_HUMAN	OR52H1	390067
O52K2_HUMAN	OR52K2	119774
O52N5_HUMAN	OR52N5	390075
O52R1_HUMAN	OR52R1	119695
O56B2_HUMAN	OR56B2P	390073
O5AK2_HUMAN	OR5AK2	390181
O5AN1_HUMAN	OR5AN1	390195
O5AU1_HUMAN	OR5AU1	390445
O6C70_HUMAN	OR6C70	390327
O10A6_HUMAN	OR10A6	390093
O10AD_HUMAN	OR10AD1	121275
O10D3_HUMAN	OR10D3	26497
O10G3_HUMAN	OR10G3	26533
O51H1_HUMAN	OR51H1	401663
O52A4_HUMAN	OR52A4P	390053
O52B4_HUMAN	OR52B4	143496
O52E1_HUMAN	OR52E1	79296
O52E4_HUMAN	OR52E4	390081
O52E8_HUMAN	OR52E8	390079
O52L2_HUMAN	OR52L2P	79274
O52N1_HUMAN	OR52N1	79473
O52N2_HUMAN	OR52N2	390077
O52W1_HUMAN	OR52W1	120787
O5AC2_HUMAN	OR5AC2	81050
O5AR1_HUMAN	OR5AR1	219493
O5H15_HUMAN	OR5H15	403274
O6C65_HUMAN	OR6C65	403282
OR1D5_HUMAN	OR1D5	8386
OR1E2_HUMAN	OR1E2	8388
OR1J2_HUMAN	OR1J2	26740
OR1L1_HUMAN	OR1L1	26737
OR1M1_HUMAN	OR1M1	125963
OR1N2_HUMAN	OR1N2	138882
OR2A7_HUMAN	OR2A7	401427
OR2B3_HUMAN	OR2B3	442184
OR2C1_HUMAN	OR2C1	4993
OR2L5_HUMAN	OR2L5	81466
OR2LD_HUMAN	OR2L13	284521
OR2M5_HUMAN	OR2M5	127059
OR2T7_HUMAN	OR2T7	81458
OR2V2_HUMAN	OR2V2	285659
OR2Z1_HUMAN	OR2Z1	284383
OR2W1_HUMAN	OR2W1	26692
OR3A1_HUMAN	OR3A1	4994
OR4A5_HUMAN	OR4A5	81318
OR4C5_HUMAN	OR4C5	79346
OR4C6_HUMAN	OR4C6	219432
OR4CC_HUMAN	OR4C12	283093
OR4D2_HUMAN	OR4D2	124538
OR4D6_HUMAN	OR4D6	219983
OR4E2_HUMAN	OR4E2	26686
OR4F5_HUMAN	OR4F5	79501
OR4Q2_HUMAN	OR4Q2	390432
OR4X2_HUMAN	OR4X2	119764
OR5A2_HUMAN	OR5A2	219981
OR5BH_HUMAN	OR5B17	219965
OR5DG_HUMAN	OR5D16	390144
OR5H6_HUMAN	OR5H6	79295
OR5I1_HUMAN	OR5I1	10798
OR5K3_HUMAN	OR5K3	403277
OR5M3_HUMAN	OR5M3	219482
OR5MA_HUMAN	OR5M10	390167
OR5T1_HUMAN	OR5T1	390155
OR6A2_HUMAN	OR6A2	8590
OR6B2_HUMAN	OR6B2	389090
OR6C2_HUMAN	OR6C2	341416
OR6C6_HUMAN	OR6C6	283365
OR6N1_HUMAN	OR6N1	128372
OR6S1_HUMAN	OR6S1	341799
OR6V1_HUMAN	OR6V1	346517
OR8U8_HUMAN	OR8U8	504189
OR9Q1_HUMAN	OR9Q1	219956
O2AE1_HUMAN	OR2AE1	81392
O2AT4_HUMAN	OR2AT4	341152
O4A15_HUMAN	OR4A15	81328
O51F2_HUMAN	OR51F2	119694
OR1A1_HUMAN	OR1A1	8383
OR1B1_HUMAN	OR1B1	347169
OR1FC_HUMAN	OR1F12	442179
OR1J1_HUMAN	OR1J1	347168
OR1J4_HUMAN	OR1J4	26219
OR1L4_HUMAN	OR1L4	254973
OR1N1_HUMAN	OR1N1	138883
OR1S2_HUMAN	OR1S2	219958
OR2A1_HUMAN	OR2A42	402317
OR2BB_HUMAN	OR2B11	127623
OR2C3_HUMAN	OR2C3	81472
OR2H1_HUMAN	OR2H1	26716
OR2K2_HUMAN	OR2K2	26248
OR2T3_HUMAN	OR2T3	343173
OR2W6_HUMAN	OR2W6P	81406
OR4F6_HUMAN	OR4F6	390648
OR4M1_HUMAN	OR4M1	441670
OR4N2_HUMAN	OR4N2	390429
OR4S1_HUMAN	OR4S1	256148
OR5M1_HUMAN	OR5M1	390168
OR5M8_HUMAN	OR5M8	219484
OR5P2_HUMAN	OR5P2	120065
OR5R1_HUMAN	OR5R1	219479
OR6B3_HUMAN	OR6B3	150681
OR6C1_HUMAN	OR6C1	390321
OR6K3_HUMAN	OR6K3	391114
OR6P1_HUMAN	OR6P1	128366
OR6Y1_HUMAN	OR6Y1	391112
OR7C2_HUMAN	OR7C2	26658
OR8B3_HUMAN	OR8B3	390271
OR8D2_HUMAN	OR8D2	283160
OR8G5_HUMAN	OR8G5	219865
OR8H3_HUMAN	OR8H3	390152
OR8K1_HUMAN	OR8K1	390157
OR8K5_HUMAN	OR8K5	219453
OR9A2_HUMAN	OR9A2	135924
OR9G9_HUMAN	OR9G9	504191
O10A7_HUMAN	OR10A7	121364
O10AG_HUMAN	OR10AG1	282770
O10G7_HUMAN	OR10G7	390265
O10J5_HUMAN	OR10J5	127385
O10P1_HUMAN	OR10P1	121130
O10T2_HUMAN	OR10T2	128360
O11H1_HUMAN	OR11H1	81061
O11H6_HUMAN	OR11H6	122748
O11L1_HUMAN	OR11L1	391189
O12D2_HUMAN	OR12D2	26529
O13C4_HUMAN	OR13C4	138804
O13D1_HUMAN	OR13D1	286365
O14AG_HUMAN	OR14A16	284532
O14K1_HUMAN	OR14K1	343170
O4F15_HUMAN	OR4F15	390649
O51A2_HUMAN	OR51A2	401667
O51B2_HUMAN	OR51B2	79345
O51B6_HUMAN	OR51B6	390058
O51G2_HUMAN	OR51G2	81282
O7E24_HUMAN	OR7E24	26648
OR1E1_HUMAN	OR1E1	8387
OR1F1_HUMAN	OR1F1	4992
OR1G1_HUMAN	OR1G1	8390
OR1K1_HUMAN	OR1K1	392392
OR1L8_HUMAN	OR1L8	138881
OR1Q1_HUMAN	OR1Q1	158131
OR2F2_HUMAN	OR2F2	135948
OR2G3_HUMAN	OR2G3	81469
OR2J1_HUMAN	OR2J1	442185
OR2L2_HUMAN	OR2L2	26246
OR8K3_HUMAN	OR8K3	219473
OR9A4_HUMAN	OR9A4	130075
OR9I1_HUMAN	OR9I1	219954
OR9Q2_HUMAN	OR9Q2	219957
O10A2_HUMAN	OR10A2	341276
O10AC_HUMAN	OR10AC1	392133
O10C1_HUMAN	OR10C1	442194
O10G4_HUMAN	OR10G4	390264
O10X1_HUMAN	OR10X1	128367
O11H2_HUMAN	OR11H2	79334
O13C6_HUMAN	OR13C6P	392311
O13C8_HUMAN	OR13C8	138802
O13H1_HUMAN	OR13H1	347468
O2AG1_HUMAN	OR2AG1	144125
OR1C1_HUMAN	OR1C1	26188
OR1D4_HUMAN	OR1D4	653166
OR1E3_HUMAN	OR1E3	8389
OR1P1_HUMAN	OR1P1	8391
OR2A4_HUMAN	OR2A4	79541
OR2B2_HUMAN	OR2B2	81697
OR2B8_HUMAN	OR2B8P	65944
OR2D2_HUMAN	OR2D2	120776
OR2G2_HUMAN	OR2G2	81470
OR2L3_HUMAN	OR2L3	391192
OR2M3_HUMAN	OR2M3	127062
OR2M7_HUMAN	OR2M7	391196
OR2T2_HUMAN	OR2T2	401992
OR2T4_HUMAN	OR2T4	127074
OR2V1_HUMAN	OR2V1	26693
OR2Y1_HUMAN	OR2Y1	134083
OR4A8_HUMAN	OR4A8	81315
OR4C3_HUMAN	OR4C3	256144
OR4CD_HUMAN	OR4C13	283092
OR4CG_HUMAN	OR4C16	219428
OR4D5_HUMAN	OR4D5	219875
OR4D9_HUMAN	OR4D9	390199
OR4F3_HUMAN	OR4F16	81399
OR4X1_HUMAN	OR4X1	390113
OR5A1_HUMAN	OR5A1	219982
OR6J1_HUMAN	OR6J1	79549
OR6K2_HUMAN	OR6K2	81448
OR7D2_HUMAN	OR7D2	162998
OR7G2_HUMAN	OR7G2	390882
OR8U9_HUMAN	OR8U9	504190
O10A3_HUMAN	OR10A3	26496
O10D4_HUMAN	OR10D4P	390266
O10G2_HUMAN	OR10G2	26534
O10G6_HUMAN	OR10G6	79490
O10H3_HUMAN	OR10H3	26532
O10H5_HUMAN	OR10H5	284433
O10J4_HUMAN	OR10J4	391121
O10K1_HUMAN	OR10K1	391109
O10Q1_HUMAN	OR10Q1	219960
O10V1_HUMAN	OR10V1	390201
O10Z1_HUMAN	OR10Z1	128368
O11G2_HUMAN	OR11G2	390439
O11H7_HUMAN	OR11H7	390441
O12D3_HUMAN	OR12D3	81797
O13C2_HUMAN	OR13C2	392376
O13F1_HUMAN	OR13F1	138805
O14J1_HUMAN	OR14J1	442191
O2AJ1_HUMAN	OR2AJ1	127608
O2T11_HUMAN	OR2T11	127077
O4C46_HUMAN	OR4C46	119749
O4F21_HUMAN	OR4F21	441308
O51B5_HUMAN	OR51B5	282763
O51J1_HUMAN	OR51J1	79470
O51M1_HUMAN	OR51M1	390059
O51S1_HUMAN	OR51S1	119692
O51V1_HUMAN	OR51V1	283111
O52B2_HUMAN	OR52B2	255725
O52E2_HUMAN	OR52E2	119678
O52E6_HUMAN	OR52E6	390078
O52J3_HUMAN	OR52J3	119679
O52K1_HUMAN	OR52K1	390036
O52Z1_HUMAN	OR52Z1	283110
O56B1_HUMAN	OR56B1	387748
O6C74_HUMAN	OR6C74	254783
OR2L8_HUMAN	OR2L8	391190
OR2T1_HUMAN	OR2T1	26696
OR2T6_HUMAN	OR2T6	254879
OR2W5_HUMAN	OR2W5	441932
OR4A4_HUMAN	OR4A4P	390134
OR4DB_HUMAN	OR4D11	219986
OR4F4_HUMAN	OR4F4	26682
OR4K3_HUMAN	OR4K3	283617
OR4KD_HUMAN	OR4K13	390433
OR4KF_HUMAN	OR4K15	81127
OR4M2_HUMAN	OR4M2	390538
OR4N4_HUMAN	OR4N4	283694
OR4S2_HUMAN	OR4S2	219431
OR5B3_HUMAN	OR5B3	441608
OR5J2_HUMAN	OR5J2	282775
OR5L2_HUMAN	OR5L2	26338
OR5T3_HUMAN	OR5T3	390154
OR5W2_HUMAN	OR5W2	390148
OR6F1_HUMAN	OR6F1	343169
OR6M1_HUMAN	OR6M1	390261
OR6Q1_HUMAN	OR6Q1	219952
OR6X1_HUMAN	OR6X1	390260
OR7A5_HUMAN	OR7A5	26659
OR8A1_HUMAN	OR8A1	390275
OR8B8_HUMAN	OR8B8	26493
OR8D4_HUMAN	OR8D4	338662
OR8G2_HUMAN	OR8G2	26492
OR8H1_HUMAN	OR8H1	219469
OR8I2_HUMAN	OR8I2	120586
OR8J1_HUMAN	OR8J1	219477
OR9A1_HUMAN	OR9A1P	26495
OR9G1_HUMAN	OR9G1	390174
OR9G4_HUMAN	OR9G4	283189
OR2A2_HUMAN	OR2A2	442361
OR2F1_HUMAN	OR2F1	26211
OR2J2_HUMAN	OR2J2	26707
OR2M2_HUMAN	OR2M2	391194
OR2S1_HUMAN	OR2S2	56656
OR2T5_HUMAN	OR2T5	401993
OR3A4_HUMAN	OR3A4P	390756
OR4K1_HUMAN	OR4K1	79544
OR4KH_HUMAN	OR4K17	390436
OR4P4_HUMAN	OR4P4	81300
OR5B2_HUMAN	OR5B2	390190
OR5C1_HUMAN	OR5C1	392391
OR5DD_HUMAN	OR5D13	390142
OR5F1_HUMAN	OR5F1	338674
OR5H2_HUMAN	OR5H2	79310
OR5K2_HUMAN	OR5K2	402135
OR5K4_HUMAN	OR5K4	403278
OR5M9_HUMAN	OR5M9	390162
OR5MB_HUMAN	OR5M11	219487
OR5P3_HUMAN	OR5P3	120066
OR5T2_HUMAN	OR5T2	219464
OR5V1_HUMAN	OR5V1	81696
OR6C4_HUMAN	OR6C4	341418
OR7A2_HUMAN	OR7A2P	390894
OR7AA_HUMAN	OR7A10	390892
OR7C1_HUMAN	OR7C1	26664
OR7G1_HUMAN	OR7G1	125962
OR8B2_HUMAN	OR8B2	26595
OR8G1_HUMAN	OR8G1	26494
OR8H2_HUMAN	OR8H2	390151
OR8J2_HUMAN	OR8J2	81169
OR8J3_HUMAN	OR8J3	81168
OR8U1_HUMAN	OR8U1	219417
OR1A2_HUMAN	OR1A2	26189
OR1F2_HUMAN	OR1F2P	26184
OR1I1_HUMAN	OR1I1	126370
OR1L3_HUMAN	OR1L3	26735
OR1L6_HUMAN	OR1L6	392390
OR1S1_HUMAN	OR1S1	219959
OR2A5_HUMAN	OR2A5	393046
OR2B6_HUMAN	OR2B6	26212
OR2D3_HUMAN	OR2D3	120775
OR2G6_HUMAN	OR2G6	391211
OR2I1_HUMAN	OR2I1P	442197
OR2J3_HUMAN	OR2J3	442186
OR2M4_HUMAN	OR2M4	26245
OR2T8_HUMAN	OR2T8	343172
OR3A2_HUMAN	OR3A2	4995
OR3A3_HUMAN	OR3A3	8392
OR4B1_HUMAN	OR4B1	119765
OR4CB_HUMAN	OR4C11	219429
OR4CF_HUMAN	OR4C15	81309
OR4D1_HUMAN	OR4D1	26689
OR4DA_HUMAN	OR4D10	390197
OR4E1_HUMAN	OR4E1	26687
OR4K2_HUMAN	OR4K2	390431
OR4K5_HUMAN	OR4K5	79317
OR4KE_HUMAN	OR4K14	122740
OR4L1_HUMAN	OR4L1	122742
OR4N5_HUMAN	OR4N5	390437
OR5BC_HUMAN	OR5B12	390191
OR5BL_HUMAN	OR5B21	219968
OR5DE_HUMAN	OR5D14	219436
OR5DI_HUMAN	OR5D18	219438
OR5G3_HUMAN	OR5G3	81193
OR5H1_HUMAN	OR5H1	26341
OR5L1_HUMAN	OR5L1	219437
OR6B1_HUMAN	OR6B1	135946
OR6C3_HUMAN	OR6C3	254786
OR6K6_HUMAN	OR6K6	128371
OR6N2_HUMAN	OR6N2	81442
OR6T1_HUMAN	OR6T1	219874
OR7AH_HUMAN	OR7A17	26333
OR7G3_HUMAN	OR7G3	390883
OR8B4_HUMAN	OR8B4	283162
OR8BC_HUMAN	OR8B12	219858
OR8D1_HUMAN	OR8D1	283159
OR8S1_HUMAN	OR8S1	341568
OR9K2_HUMAN	OR9K2	441639
O10A5_HUMAN	OR10A5	144124
O10G8_HUMAN	OR10G8	219869
O10H1_HUMAN	OR10H1	26539
O10H4_HUMAN	OR10H4	126541
O10J3_HUMAN	OR10J3	441911
O10J6_HUMAN	OR10J6P	401973
O10K2_HUMAN	OR10K2	391107
O10R2_HUMAN	OR10R2	343406
O11A1_HUMAN	OR11A1	26531
O13A1_HUMAN	OR13A1	79290
O13C5_HUMAN	OR13C5	138799
O13C9_HUMAN	OR13C9	286362
O13J1_HUMAN	OR13J1	392309
O14A2_HUMAN	OR14A2	388761
O14I1_HUMAN	OR14I1	401994
O2A14_HUMAN	OR2A14	135941
O2AG2_HUMAN	OR2AG2	338755
O2AP1_HUMAN	OR2AP1	121129
O2T27_HUMAN	OR2T27	403239
O2T33_HUMAN	OR2T33	391195
O4A16_HUMAN	OR4A16	81327
O4A47_HUMAN	OR4A47	403253
O4F17_HUMAN	OR4F17	81099
O51A7_HUMAN	OR51A7	119687
O51D1_HUMAN	OR51D1	390038
O52A5_HUMAN	OR52A5	390054
O52B6_HUMAN	OR52B6	340980
O52E5_HUMAN	OR52E5	390082
O52I1_HUMAN	OR52I1	390037
O52I2_HUMAN	OR52I2	143502
O52L1_HUMAN	OR52L1	338751
O52P1_HUMAN	OR52P1P	81248
O56A1_HUMAN	OR56A1	120796
O56A5_HUMAN	OR56A5	390084
O5AC1_HUMAN	OR5AC1	81431
O5AL1_HUMAN	OR5AL1	79482
O5AS1_HUMAN	OR5AS1	219447
O6C68_HUMAN	OR6C68	403284
O6C75_HUMAN	OR6C75	390323
